date,price_usd,phase,cycle,bull_monthly,bear_drop_total,r_avg_total
2028-09-01,122891.6,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2028-10-01,130849.34,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2028-11-01,139322.38,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2028-12-01,148344.08,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2029-01-01,157949.98,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2029-02-01,168177.9,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2029-03-01,179068.12,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2029-04-01,190663.53,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2029-05-01,203009.78,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2029-06-01,216155.51,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2029-07-01,230152.48,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2029-08-01,245055.81,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2029-09-01,260924.2,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2029-10-01,277820.13,Bull,5,0.06475416506077214,0.77,0.01657558235759047
2029-11-01,245795.74,Bear,6,0.055630166196008135,0.77,0.010035195753262423
2029-12-01,217462.82,Bear,6,0.055630166196008135,0.77,0.010035195753262423
2030-01-01,192395.83,Bear,6,0.055630166196008135,0.77,0.010035195753262423
2030-02-01,170218.33,Bear,6,0.055630166196008135,0.77,0.010035195753262423
2030-03-01,150597.23,Bear,6,0.055630166196008135,0.77,0.010035195753262423
2030-04-01,133237.85,Bear,6,0.055630166196008135,0.77,0.010035195753262423
2030-05-01,117879.5,Bear,6,0.055630166196008135,0.77,0.010035195753262423
2030-06-01,104291.5,Bear,6,0.055630166196008135,0.77,0.010035195753262423
2030-07-01,92269.8,Bear,6,0.055630166196008135,0.77,0.010035195753262423
2030-08-01,81633.84,Bear,6,0.055630166196008135,0.77,0.010035195753262423
2030-09-01,72223.89,Bear,6,0.055630166196008135,0.77,0.010035195753262423
2030-10-01,63898.63,Bear,6,0.055630166196008135,0.77,0.010035195753262423
2030-11-01,67453.32,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2030-12-01,71205.76,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2031-01-01,75166.95,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2031-02-01,79348.5,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2031-03-01,83762.67,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2031-04-01,88422.4,Bull,6,0.055630166196008135,0.77,0.010035195753262423
